Q,WINDING,IOTA_YUGO,CONTRACTION,Split_t,Lead_s
1.62,8.0,1.25,0.78,,0.0
1.62,8.0,1.25,0.85,,0.0
1.62,8.0,1.25,0.92,,0.0
1.62,8.0,1.15,0.68,,0.0
1.62,8.0,1.15,0.78,,0.0
1.62,8.0,1.15,0.85,,0.0
1.62,8.0,1.15,0.92,,0.0
1.62,8.0,1.05,0.68,,0.0
1.62,8.0,1.05,0.85,,0.0
1.62,6.5,1.15,0.92,,0.0
1.62,8.0,1.05,0.92,,0.0
1.62,8.0,0.95,0.68,,0.0
1.62,8.0,0.95,0.78,,0.0
1.62,8.0,0.95,0.85,,0.0
1.62,8.0,0.95,0.92,,0.0
1.62,6.5,1.25,0.68,,0.0
1.62,6.5,1.25,0.78,,0.0
1.62,6.5,1.25,0.85,,0.0
1.62,6.5,1.25,0.92,,0.0
1.62,6.5,1.15,0.68,,0.0
1.62,6.5,1.15,0.78,,0.0
1.62,6.5,1.15,0.85,,0.0
1.45,12.0,0.95,0.85,,0.0
1.45,12.0,0.95,0.92,,0.0
1.45,10.0,1.25,0.68,,0.0
1.28,15.0,1.15,0.68,,0.0
1.28,17.8,1.05,0.68,,0.0
1.28,17.8,1.05,0.78,,0.0
1.28,17.8,1.05,0.85,,0.0
1.28,17.8,1.05,0.92,,0.0
1.28,17.8,0.95,0.68,,0.0
1.28,17.8,0.95,0.78,,0.0
1.28,17.8,0.95,0.85,,0.0
1.28,17.8,0.95,0.92,,0.0
1.28,15.0,1.25,0.68,,0.0
1.28,15.0,1.25,0.78,,0.0
1.28,15.0,1.25,0.85,,0.0
1.28,15.0,1.25,0.92,,0.0
1.28,15.0,1.15,0.78,,0.0
1.28,17.8,1.15,0.85,,0.0
1.28,15.0,1.15,0.85,,0.0
1.28,15.0,1.15,0.92,,0.0
1.28,15.0,1.05,0.68,,0.0
1.28,15.0,1.05,0.78,,0.0
1.28,15.0,1.05,0.85,,0.0
1.28,15.0,1.05,0.92,,0.0
1.28,15.0,0.95,0.68,,0.0
1.28,15.0,0.95,0.78,,0.0
1.28,15.0,0.95,0.85,,0.0
1.28,15.0,0.95,0.92,,0.0
1.28,12.0,1.25,0.68,,0.0
1.28,12.0,1.25,0.78,,0.0
1.28,17.8,1.15,0.92,,0.0
1.28,17.8,1.15,0.78,,0.0
1.28,12.0,1.25,0.92,,0.0
1.35,6.5,1.15,0.85,,0.0
1.35,8.0,1.05,0.85,,0.0
1.35,8.0,1.05,0.92,,0.0
1.35,8.0,0.95,0.68,,0.0
1.35,8.0,0.95,0.78,,0.0
1.35,8.0,0.95,0.85,,0.0
1.35,8.0,0.95,0.92,,0.0
1.35,6.5,1.25,0.68,,0.0
1.35,6.5,1.25,0.78,,0.0
1.35,6.5,1.25,0.85,,0.0
1.35,6.5,1.25,0.92,,0.0
1.35,6.5,1.15,0.68,,0.0
1.35,6.5,1.15,0.78,,0.0
1.35,6.5,1.15,0.92,,0.0
1.28,17.8,1.15,0.68,,0.0
1.35,6.5,1.05,0.68,,0.0
1.35,6.5,1.05,0.78,,0.0
1.35,6.5,1.05,0.85,,0.0
1.35,6.5,1.05,0.92,,0.0
1.35,6.5,0.95,0.68,,0.0
1.35,6.5,0.95,0.78,,0.0
1.35,6.5,0.95,0.85,,0.0
1.35,6.5,0.95,0.92,,0.0
1.28,17.8,1.25,0.68,,0.0
1.28,17.8,1.25,0.78,,0.0
1.28,17.8,1.25,0.85,,0.0
1.28,17.8,1.25,0.92,,0.0
1.28,12.0,1.25,0.85,,0.0
1.28,12.0,1.15,0.68,,0.0
1.35,8.0,1.05,0.68,,0.0
1.28,6.5,1.25,0.68,,0.0
1.28,8.0,1.15,0.68,,0.0
1.28,8.0,1.15,0.78,,0.0
1.28,8.0,1.15,0.85,,0.0
1.28,8.0,1.15,0.92,,0.0
1.28,8.0,1.05,0.68,,0.0
1.28,8.0,1.05,0.78,,0.0
1.28,8.0,1.05,0.85,,0.0
1.28,8.0,1.05,0.92,,0.0
1.28,8.0,0.95,0.68,,0.0
1.28,8.0,0.95,0.78,,0.0
1.28,8.0,0.95,0.85,,0.0
1.28,8.0,0.95,0.92,,0.0
1.28,6.5,1.25,0.78,,0.0
1.28,8.0,1.25,0.85,,0.0
1.28,6.5,1.25,0.85,,0.0
1.28,6.5,1.25,0.92,,0.0
1.28,6.5,1.15,0.68,,0.0
1.28,6.5,1.15,0.78,,0.0
1.28,6.5,1.15,0.85,,0.0
1.28,6.5,1.15,0.92,,0.0
1.28,6.5,1.05,0.68,,0.0
1.28,6.5,1.05,0.78,,0.0
1.28,6.5,1.05,0.85,,0.0
1.28,6.5,1.05,0.92,,0.0
1.28,6.5,0.95,0.68,,0.0
1.28,6.5,0.95,0.78,,0.0
1.28,8.0,1.25,0.92,,0.0
1.28,8.0,1.25,0.78,,0.0
1.28,12.0,1.15,0.78,,0.0
1.28,10.0,1.25,0.85,,0.0
1.28,12.0,1.15,0.85,,0.0
1.28,12.0,1.15,0.92,,0.0
1.28,12.0,1.05,0.68,,0.0
1.28,12.0,1.05,0.78,,0.0
1.28,12.0,1.05,0.85,,0.0
1.28,12.0,1.05,0.92,,0.0
1.28,12.0,0.95,0.68,,0.0
1.28,12.0,0.95,0.78,,0.0
1.28,12.0,0.95,0.85,,0.0
1.28,12.0,0.95,0.92,,0.0
1.28,10.0,1.25,0.68,,0.0
1.28,10.0,1.25,0.78,,0.0
1.28,10.0,1.25,0.92,,0.0
1.28,8.0,1.25,0.68,,0.0
1.28,10.0,1.15,0.68,,0.0
1.28,10.0,1.15,0.78,,0.0
1.28,10.0,1.15,0.85,,0.0
1.28,10.0,1.15,0.92,,0.0
1.28,10.0,1.05,0.68,,0.0
1.28,10.0,1.05,0.78,,0.0
1.28,10.0,1.05,0.85,,0.0
1.28,10.0,1.05,0.92,,0.0
1.28,10.0,0.95,0.68,,0.0
1.28,10.0,0.95,0.78,,0.0
1.28,10.0,0.95,0.85,,0.0
1.28,10.0,0.95,0.92,,0.0
1.35,8.0,1.05,0.78,,0.0
1.35,8.0,1.15,0.92,,0.0
1.45,10.0,1.25,0.78,,0.0
1.45,6.5,0.95,0.68,,0.0
1.45,6.5,1.25,0.68,,0.0
1.45,6.5,1.25,0.78,,0.0
1.45,6.5,1.25,0.85,,0.0
1.45,6.5,1.25,0.92,,0.0
1.45,6.5,1.15,0.68,,0.0
1.45,6.5,1.15,0.78,,0.0
1.45,6.5,1.15,0.85,,0.0
1.45,6.5,1.15,0.92,,0.0
1.45,6.5,1.05,0.68,,0.0
1.45,6.5,1.05,0.78,,0.0
1.45,6.5,1.05,0.85,,0.0
1.45,6.5,1.05,0.92,,0.0
1.45,6.5,0.95,0.78,,0.0
1.45,8.0,0.95,0.85,,0.0
1.45,6.5,0.95,0.85,,0.0
1.45,6.5,0.95,0.92,,0.0
1.35,17.8,1.25,0.68,,0.0
1.35,17.8,1.25,0.78,,0.0
1.35,17.8,1.25,0.85,,0.0
1.35,17.8,1.25,0.92,,0.0
1.35,17.8,1.15,0.68,,0.0
1.35,17.8,1.15,0.78,,0.0
1.35,17.8,1.15,0.85,,0.0
1.35,17.8,1.15,0.92,,0.0
1.35,17.8,1.05,0.68,,0.0
1.35,17.8,1.05,0.78,,0.0
1.45,8.0,0.95,0.92,,0.0
1.45,8.0,0.95,0.78,,0.0
1.35,17.8,1.05,0.92,,0.0
1.45,10.0,0.95,0.85,,0.0
1.45,10.0,1.25,0.85,,0.0
1.45,10.0,1.25,0.92,,0.0
1.45,10.0,1.15,0.68,,0.0
1.45,10.0,1.15,0.78,,0.0
1.45,10.0,1.15,0.85,,0.0
1.45,10.0,1.15,0.92,,0.0
1.45,10.0,1.05,0.68,,0.0
1.45,10.0,1.05,0.78,,0.0
1.45,10.0,1.05,0.85,,0.0
1.45,10.0,1.05,0.92,,0.0
1.45,10.0,0.95,0.68,,0.0
1.45,10.0,0.95,0.78,,0.0
1.45,10.0,0.95,0.92,,0.0
1.45,8.0,0.95,0.68,,0.0
1.45,8.0,1.25,0.68,,0.0
1.45,8.0,1.25,0.78,,0.0
1.45,8.0,1.25,0.85,,0.0
1.45,8.0,1.25,0.92,,0.0
1.45,8.0,1.15,0.68,,0.0
1.45,8.0,1.15,0.78,,0.0
1.45,8.0,1.15,0.85,,0.0
1.45,8.0,1.15,0.92,,0.0
1.45,8.0,1.05,0.68,,0.0
1.45,8.0,1.05,0.78,,0.0
1.45,8.0,1.05,0.85,,0.0
1.45,8.0,1.05,0.92,,0.0
1.35,17.8,1.05,0.85,,0.0
1.35,17.8,0.95,0.68,,0.0
1.35,8.0,1.15,0.85,,0.0
1.35,10.0,1.05,0.68,,0.0
1.35,12.0,0.95,0.68,,0.0
1.35,12.0,0.95,0.78,,0.0
1.35,12.0,0.95,0.85,,0.0
1.35,12.0,0.95,0.92,,0.0
1.35,10.0,1.25,0.68,,0.0
1.35,10.0,1.25,0.78,,0.0
1.35,10.0,1.25,0.85,,0.0
1.35,10.0,1.25,0.92,,0.0
1.35,10.0,1.15,0.68,,0.0
1.35,10.0,1.15,0.78,,0.0
1.35,10.0,1.15,0.85,,0.0
1.35,10.0,1.15,0.92,,0.0
1.35,10.0,1.05,0.78,,0.0
1.35,12.0,1.05,0.85,,0.0
1.35,10.0,1.05,0.85,,0.0
1.35,10.0,1.05,0.92,,0.0
1.35,10.0,0.95,0.68,,0.0
1.35,10.0,0.95,0.78,,0.0
1.35,10.0,0.95,0.85,,0.0
1.35,10.0,0.95,0.92,,0.0
1.35,8.0,1.25,0.68,,0.0
1.35,8.0,1.25,0.78,,0.0
1.35,8.0,1.25,0.85,,0.0
1.35,8.0,1.25,0.92,,0.0
1.35,8.0,1.15,0.68,,0.0
1.35,8.0,1.15,0.78,,0.0
1.35,12.0,1.05,0.92,,0.0
1.35,12.0,1.05,0.78,,0.0
1.35,17.8,0.95,0.78,,0.0
1.35,15.0,1.05,0.85,,0.0
1.35,17.8,0.95,0.85,,0.0
1.35,17.8,0.95,0.92,,0.0
1.35,15.0,1.25,0.68,,0.0
1.35,15.0,1.25,0.78,,0.0
1.35,15.0,1.25,0.85,,0.0
1.35,15.0,1.25,0.92,,0.0
1.35,15.0,1.15,0.68,,0.0
1.35,15.0,1.15,0.78,,0.0
1.35,15.0,1.15,0.85,,0.0
1.35,15.0,1.15,0.92,,0.0
1.35,15.0,1.05,0.68,,0.0
1.35,15.0,1.05,0.78,,0.0
1.35,15.0,1.05,0.92,,0.0
1.35,12.0,1.05,0.68,,0.0
1.35,15.0,0.95,0.68,,0.0
1.35,15.0,0.95,0.78,,0.0
1.35,15.0,0.95,0.85,,0.0
1.35,15.0,0.95,0.92,,0.0
1.35,12.0,1.25,0.68,,0.0
1.35,12.0,1.25,0.78,,0.0
1.35,12.0,1.25,0.85,,0.0
1.35,12.0,1.25,0.92,,0.0
1.35,12.0,1.15,0.68,,0.0
1.35,12.0,1.15,0.78,,0.0
1.35,12.0,1.15,0.85,,0.0
1.35,12.0,1.15,0.92,,0.0
1.62,17.8,1.25,0.68,,0.0
