[STEP 0] state=NEXIT | risk=0.020 | d=0.750 | action=MONITOR
[STEP 83] state=NEXIT | risk=0.012 | d=0.169 | action=MONITOR
[STEP 84] state=NEXIT | risk=0.011 | d=0.162 | action=MONITOR
[STEP 85] state=NEXIT | risk=0.010 | d=0.155 | action=MONITOR
[STEP 86] state=NEXIT | risk=0.010 | d=0.148 | action=MONITOR
[STEP 87] state=NEXIT | risk=0.010 | d=0.141 | action=MONITOR
[STEP 88] state=NEXIT | risk=0.011 | d=0.134 | action=MONITOR
[STEP 89] state=NEXIT | risk=0.011 | d=0.127 | action=MONITOR
[STEP 90] state=NEXIT | risk=0.100 | d=0.100 | action=MONITOR
[STEP 91] state=NEXIT | risk=0.178 | d=0.091 | action=MONITOR
[STEP 92] state=ENGAGE | risk=0.256 | d=0.082 | action=PREEMPTIVE_STABILIZE
[STATE CHANGE] NEXIT → ENGAGE
[STEP 93] state=ENGAGE | risk=0.333 | d=0.073 | action=PREEMPTIVE_STABILIZE
[STEP 94] state=ENGAGE | risk=0.411 | d=0.064 | action=PREEMPTIVE_STABILIZE
[STEP 95] state=LOCK | risk=0.489 | d=0.056 | action=STRONG_INTERVENTION + STEER_OUT
[STATE CHANGE] ENGAGE → LOCK
[STEP 96] state=LOCK | risk=0.567 | d=0.047 | action=STRONG_INTERVENTION + STEER_OUT
[STEP 97] state=LOCK | risk=0.644 | d=0.038 | action=STRONG_INTERVENTION + STEER_OUT
[STEP 98] state=LOCK | risk=0.722 | d=0.029 | action=STRONG_INTERVENTION + STEER_OUT
[STEP 99] state=RELEASE | risk=0.800 | d=0.020 | action=DAMPEN + RECOVER
[STATE CHANGE] LOCK → RELEASE
[STEP 100] state=RELEASE | risk=0.300 | d=0.200 | action=DAMPEN + RECOVER
[STEP 101] state=RELEASE | risk=0.285 | d=0.211 | action=DAMPEN + RECOVER
[STEP 102] state=LOCK | risk=0.269 | d=0.221 | action=STRONG_INTERVENTION + STEER_OUT
[STATE CHANGE] RELEASE → LOCK
[STEP 103] state=LOCK | risk=0.254 | d=0.232 | action=STRONG_INTERVENTION + STEER_OUT
[STEP 104] state=LOCK | risk=0.239 | d=0.242 | action=STRONG_INTERVENTION + STEER_OUT
[STEP 105] state=RELEASE | risk=0.224 | d=0.253 | action=DAMPEN + RECOVER
[STATE CHANGE] LOCK → RELEASE
[STEP 106] state=RELEASE | risk=0.208 | d=0.263 | action=DAMPEN + RECOVER
[STEP 107] state=RELEASE | risk=0.193 | d=0.274 | action=DAMPEN + RECOVER
[STEP 108] state=LOCK | risk=0.178 | d=0.284 | action=STRONG_INTERVENTION + STEER_OUT
[STATE CHANGE] RELEASE → LOCK
[STEP 109] state=LOCK | risk=0.163 | d=0.295 | action=STRONG_INTERVENTION + STEER_OUT
[STEP 110] state=LOCK | risk=0.147 | d=0.305 | action=STRONG_INTERVENTION
[STEP 111] state=RELEASE | risk=0.132 | d=0.316 | action=DAMPEN + RECOVER
[STATE CHANGE] LOCK → RELEASE
[STEP 112] state=RELEASE | risk=0.117 | d=0.326 | action=DAMPEN + RECOVER
[STEP 113] state=RELEASE | risk=0.102 | d=0.337 | action=DAMPEN + RECOVER
[STEP 114] state=LOCK | risk=0.086 | d=0.347 | action=STRONG_INTERVENTION
[STATE CHANGE] RELEASE → LOCK
[STEP 115] state=LOCK | risk=0.071 | d=0.358 | action=STRONG_INTERVENTION
[STEP 116] state=LOCK | risk=0.056 | d=0.368 | action=STRONG_INTERVENTION
[STEP 117] state=RELEASE | risk=0.041 | d=0.379 | action=DAMPEN + RECOVER
[STATE CHANGE] LOCK → RELEASE
[STEP 118] state=RELEASE | risk=0.025 | d=0.389 | action=DAMPEN + RECOVER
[STEP 119] state=RELEASE | risk=0.010 | d=0.400 | action=DAMPEN + RECOVER
